,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
67,67,dti:1.4-3.5,0.2273757190671641,0.0016697803113256537,dti,18.731341041935092,19.0,0.2686589580649077,19.0
68,68,dti:3.5-7.7,0.2377109975671564,0.00015876874450739366,dti,19.582767162283282,20.0,0.4172328377167176,20.0
69,69,dti:7.7-10.5,0.17428785588429507,0.005354567188530423,dti,14.35793268265389,14.0,-0.35793268265389067,14.0
70,70,dti:10.5-16.1,0.09395703866455513,0.1213761745850299,dti,7.740234277153393,8.0,0.25976572284660726,8.0
71,71,dti:16.1-20.3,-0.00742426036443624,0.9027102372566634,dti,-0.6116147908884589,-1.0,-0.38838520911154106,-1.0
72,72,dti:20.3-21.7,-0.018534919006761064,0.7697493499419998,dti,-1.5269171683091294,-2.0,-0.4730828316908706,-2.0
73,73,dti:21.7-22.4,-0.05909902852810323,0.3792348320540151,dti,-4.8686115788817235,-5.0,-0.13138842111827653,-5.0
74,74,dti:22.4-35,-0.09660055083168055,0.10792922098021479,dti,-7.95800831280715,-8.0,-0.041991687192849625,-8.0
75,75,mths_since_last_delinq:Missing,0.1404306304066033,0.006897110342625279,mths_since_last_delinq,11.568755193702199,12.0,0.4312448062978014,12.0
76,76,mths_since_last_delinq:4-30,0.16949034541671087,0.0012483533226852652,mths_since_last_delinq,13.962711042061613,14.0,0.0372889579383866,14.0
77,77,mths_since_last_delinq:31-56,0.21704985288383713,4.5008170609348426e-05,mths_since_last_delinq,17.880690313586438,18.0,0.11930968641356188,16.0
78,78,mths_since_last_delinq:>=57,0.16789209393291213,0.002055354870893464,mths_since_last_delinq,13.83104617592448,14.0,0.16895382407552084,14.0
79,79,mths_since_last_record:Missing,0.19901884399989653,0.016518910774755896,mths_since_last_record,16.395285547761432,16.0,-0.3952855477614321,16.0
80,80,mths_since_last_record:3-20,0.2671252439816059,0.02947688943877583,mths_since_last_record,22.005929509349112,22.0,-0.005929509349112294,22.0
81,81,mths_since_last_record:21-31,0.17222790513159664,0.1265323422300064,mths_since_last_record,14.188232768183308,14.0,-0.18823276818330825,14.0
